Taller;Suma de total_manoobra;Suma de total_repuestos;Suma de terceros;Suma de odometro
10 DE AGOSTO;240651,73;458112,78;111043,58;100259620
6 DE DICIEMBRE;94151,53;185682,59;22308,54;36910710
AMERICA;22414,37;107342,66;4508,65;12118743
AMERICAS;341046,41;916599,13;1593,9;204380521
AZOGUES;62026,74;354232,74;4344,45;10175894
BABAHOYO;17516,12;76764,4;10609,9;11240122
BOLIVARIANA;93214,31;150772,28;4359,56;16439156
CARAPUNGO;260045,28;578549,85;30571,92;44592874
CAYAMBE;65100,44;136351,67;9912,56;28376795
CEIBOS;204691,01;279673,86;14399,24;1099614474
CENTRO;143297,68;62599,04;21454,31;41032532
CHEVY EXPRES PIAZZA;63254,37;73029,77;1676,74;50252103
CHEVYEXPRESSGARZOTA;205712,48;300806,81;9165,17;141947649
CONDADO;54344,85;157042,47;20067,5;53765022
CUENCA;443903,97;1868240,76;49912,15;1315422913
CUMBAYA;105855,67;483548,09;8220,82;55008218
DURAN;216481,78;527413,41;895,39;60369639
EL COCA;206483,71;453146,93;10350,06;43313537
EL RECREO;380171,89;1099574,56;65646,86;131033898
ESMERALDAS;202197,39;399705,8;6077,52;68756488
GUAYAQUIL;751344,33;1673640,09;57802,31;288639476
IBARRA;264915,01;477438,64;27074,85;64169159
LAGO AGRIO;170562,05;371480,49;13075,26;43735168
LATACUNGA;103215,71;153429,12;4784,08;31145335
LOJA;313624,4;1846324,24;29177,85;67427538
MACHALA;697339,28;411891;187604,23;125050144
Manta;388361,75;1139914,38;47724,06;203660430
MARISCAL SUCRE;68084,25;454183,92;22442,49;71507498
MATRIZ;2362574,92;6101675,87;593155,86;705895478
MATRIZ   ;275401,64;459593,31;18240,98;60255805
MATRIZ GYE;461253,09;455311,34;322736,15;243251801
MATRIZ-COLISION;68044,16;132289,59;16961,47;23578301
MILAGRO;165780,12;236877,94;8953,83;87260360
NORTE;171166,34;113661,36;18821,85;57742652
OCCIDENTAL;559245,48;954243,47;172420,88;115780803
ORDONEZ LAZO;124884,32;529848,66;9932,64;38292928
ORELLANA;651506,91;1761057,89;101990,64;176789683
OTAVALO;45951,33;113709,59;1245,98;11967612
PANA NORTE;912996,07;1995057,07;51019,46;119086869
PORTOVIEJO;89386,34;506454,48;25171,59;98208115
PUYO;66294,72;109620,54;5309,75;25600567
QUEVEDO;190113,74;778028,55;35277,88;2224206618
REMIGIO CRESPO;20295,87;57931,64;3511,62;12789585
RIO COCA;312865,92;1398607,46;355978,67;205349717
RIOBAMBA;191523,42;339039,47;14675,25;50358115
SALINAS;144804,59;415771,77;23901,52;77044571
SAN GREGORIO;14333;29133;15502;1724768
SAN RAFAEL;89020,48;245643,79;24457,84;45509566
STO DOMINGO;94171,88;27810,7;14131,5;96863319
STO. DOMINGO;205754,18;417465,44;4874,7;81713857
SUR;164568,03;52009,39;31414,78;1511785274
TALLER CAMIONES;458;906;99;354395
TALLER MATRIZ MECANICA ESPECIALIZADA;285614,58;307046,17;19809,29;66885226
TALLER MECANICA MANTA;31298,69;38135,14;2220;11020776
TALLER SUR MECANICA ESPECIALIZADA;187563,28;147703,93;3115,67;43340468
TALLER URDESA SELECTIVO;102665,21;104001,97;6543,25;51867575
TALLERES CAMIONES;656111,62;148615,22;108890,07;61103330
TALLERES PORTOVIEJO;17704,46;16595,15;676,5;12800345
TANCAMARENGO;224008,39;1149032,03;61561,61;176492648
TULCAN;17168,18;41436,73;2069,38;6084825
TUMBACO;48010,2;137844,8;17741,25;26809209
